SoC_CH;OCP_NE_CH;OCP_PE_CH;SoC_DCH;OCP_NE_DCH;OCP_PE_DCH;Q_Ch;Q_Dch
0.028514257;0.468294011;3.597115164;0.028514257;0.79953501;3.610618283;0.223742953;0.216322163
0.029014507;0.464865309;3.597625471;0.029014507;0.795503153;3.611007368;0.227668268;0.220117289
0.029514757;0.461478747;3.598132597;0.029514757;0.791520301;3.611388868;0.231593583;0.223912415
0.030015008;0.458133614;3.598639116;0.030015008;0.787590295;3.611768567;0.235518898;0.22770754
0.030515258;0.454830146;3.599143377;0.030515258;0.783731052;3.612147845;0.239444213;0.231502666
0.031015508;0.451569349;3.599648613;0.031015508;0.779922211;3.612517991;0.243369528;0.235297792
0.031515758;0.448344539;3.600145662;0.031515758;0.776182627;3.612889796;0.247294843;0.239092917
0.032016008;0.445162784;3.600645;0.032016008;0.772496566;3.613261408;0.251220158;0.242888043
0.032516258;0.442025;3.601145053;0.032516258;0.768855033;3.613630568;0.255145473;0.246683169
0.033016508;0.438926494;3.601639527;0.033016508;0.765255301;3.613992113;0.259070788;0.250478294
0.033516758;0.435866507;3.602132442;0.033516758;0.761706857;3.614357577;0.262996103;0.25427342
0.034017009;0.432846881;3.602623762;0.034017009;0.758235071;3.614716942;0.266921418;0.258068546
0.034517259;0.429865881;3.603111362;0.034517259;0.754784325;3.615074773;0.270846733;0.261863671
0.035017509;0.426926675;3.603600628;0.035017509;0.751384358;3.615428699;0.274772048;0.265658797
0.035517759;0.424021987;3.604082337;0.035517759;0.748031946;3.61578055;0.278697363;0.269453923
0.036018009;0.421159355;3.604565033;0.036018009;0.744723416;3.616131016;0.282622678;0.273249048
0.036518259;0.418332347;3.605043152;0.036518259;0.741458759;3.616479296;0.286547993;0.277044174
0.037018509;0.415545115;3.605519454;0.037018509;0.738244686;3.616826303;0.290473308;0.2808393
0.037518759;0.412793479;3.60599093;0.037518759;0.735068306;3.617174161;0.294398623;0.284634425
0.03801901;0.410073387;3.60645411;0.03801901;0.731933553;3.617510495;0.298323938;0.288429551
0.03851926;0.407396934;3.606925451;0.03851926;0.728839306;3.617851836;0.302249253;0.292224677
0.03901951;0.404755407;3.607392147;0.03901951;0.725784617;3.618188393;0.306174568;0.296019803
0.03951976;0.402154111;3.607856286;0.03951976;0.722769462;3.618518345;0.310099883;0.299814928
0.04002001;0.399583018;3.608314771;0.04002001;0.719791041;3.618847672;0.314025198;0.303610054
0.04052026;0.397047474;3.608766876;0.04052026;0.71684658;3.619183168;0.317950513;0.30740518
