SOC_pct,I_Si_mA,I_Gr_mA,Si_frac_pct,Gr_frac_pct,j_Si_A_m2,j_Gr_A_m2,eta_mV,R_tot_mOhm,I_ratio,OCV_Si_V,OCV_Gr_V
95,1058.09730000537,1691.90269999463,38.4762654547406,50,0.305850746214542,21.409552235018,54.64091875,19.869425,0.625388977751927,0.190998673377854,0.0936629031641447
94.0909090909091,1058.09730000537,1691.90269999463,38.4762654547407,50,0.323148566622415,22.6203996635691,54.202121875,19.7098625,0.625388977751927,0.20517759685594,0.0946323576452879
93.1818181818182,1058.09730000537,1691.90269999463,38.4762654547407,50,0.338596976102593,23.7017883271815,53.784671875,19.5580625,0.625388977751927,0.217583879073668,0.0956018121264311
92.2727272727273,1058.09730000537,1691.90269999463,38.4762654547407,50,0.352151581397018,24.6506106977912,53.345875,19.3985,0.625388977751927,0.228367311858891,0.0965712666075743
91.3636363636364,1058.09730000537,1691.90269999463,38.4762654547407,50,0.364325786666877,25.5028050666814,52.9189375,19.24325,0.625388977751927,0.23806958286688,0.0975373431668531
90.4545454545455,1058.09730000537,1691.90269999463,38.4762654547407,50,0.375178382750542,26.2624867925379,52.489628125,19.0871375,0.625388977751927,0.246781043502953,0.0978418642154011
89.5454545454545,1058.09730000537,1691.90269999463,38.4762654547407,50,0.38499167932361,26.9494175526527,52.072178125,18.9353375,0.625388977751927,0.254854789782033,0.0980726348958664
88.6363636363636,1058.09730000537,1691.90269999463,38.4762654547407,50,0.393870514162993,27.5709359914095,51.664215625,18.7869875,0.625388977751927,0.262300665663796,0.0983034055763316
87.7272727272727,1058.09730000537,1691.90269999463,38.4762654547407,50,0.401798464074071,28.125892485185,51.25388125,18.637775,0.625388977751927,0.26942198810799,0.0985341762567969
86.8181818181818,1058.09730000537,1691.90269999463,38.4762654547406,50,0.408906435773789,28.6234505041653,50.84591875,18.489425,0.625388977751927,0.276130965787455,0.0987649469372621
85.9090909090909,1058.09730000537,1691.90269999463,38.4762654547407,50,0.415114217730261,29.0579952411183,50.4260968749999,18.3367625,0.625388977751927,0.282587728177135,0.0989957176177274
85,1058.09730000537,1691.90269999463,38.4762654547407,50,0.420527875372195,29.4369512760536,49.9991593749999,18.1815125,0.625388977751927,0.288792387983788,0.0992264882981927
84.0909090909091,1058.09730000537,1691.90269999463,38.4762654547406,50,0.4251449894961,29.760149264727,49.5603624999999,18.02195,0.625388977751927,0.294820307137396,0.0994572589786579
83.1818181818182,1058.09730000537,1691.90269999463,38.4762654547407,50,0.429381196013207,30.0566837209245,49.1429124999999,17.87015,0.625388977751927,0.300666281186227,0.0996880296591232
82.2727272727273,1058.09730000537,1691.90269999463,38.4762654547406,50,0.43280228576392,30.2961600034744,48.7041156249999,17.7105875,0.625388977751927,0.306515830634705,0.0999188003395884
81.3636363636364,1058.09730000537,1691.90269999463,38.4762654547407,50,0.436039205312104,30.5227443718473,48.2961531249999,17.5622375,0.625388977751927,0.312210809406646,0.100149571020054
80.4545454545454,1058.09730000537,1691.90269999463,38.4762654547406,50,0.438778569764006,30.7144998834804,47.8881906249999,17.4138875,0.625388977751927,0.317690587961159,0.100380341700519
79.5454545454545,1058.09730000537,1691.90269999463,38.4762654547406,50,0.441022677428756,30.8715874200129,47.4778562499999,17.264675,0.625388977751927,0.323147102543225,0.100611112380984
78.6363636363636,1058.09730000537,1691.90269999463,38.4762654547406,50,0.443080619867116,31.0156433906981,47.0888687499999,17.123225,0.625388977751927,0.32856865518058,0.100841883061449
77.7272727272727,1058.09730000537,1691.90269999463,38.4762654547406,50,0.445041238297753,31.1528866808427,46.7259718749999,16.9912625,0.625388977751927,0.333885684871939,0.101072653741915
76.8181818181818,1058.09730000537,1691.90269999463,38.4762654547407,50,0.44710734952499,31.2975144667493,46.4033968749999,16.8739625,0.625388977751927,0.338988127326565,0.10130342442238
75.9090909090909,1058.09730000537,1691.90269999463,38.4762654547407,50,0.448904948077296,31.4233463654107,46.0879374999999,16.75925,0.625388977751927,0.343939208839384,0.101534195102845
75,1058.09730000537,1691.90269999463,38.4762654547407,50,0.449460934305351,31.4622654013746,45.6989499999998,16.6177999999999,0.625388977751927,0.348692867517559,0.101764965783311
74.0909090909091,1058.09730000537,1691.90269999463,38.4762654547406,50,0.450154524131839,31.5108166892288,45.3479124999999,16.4901499999999,0.625388977751927,0.353346949255114,0.102042718773035
73.1818181818182,1058.09730000537,1691.90269999463,38.4762654547407,50,0.452281607577976,31.6597125304583,45.1368156249999,16.4133874999999,0.625388977751927,0.357968959918817,0.102367902825462
72.2727272727273,1058.09730000537,1691.90269999463,38.4762654547406,50,0.455117792385625,31.8582454669938,45.0039906249999,16.3650874999999,0.625388977751927,0.362254621198881,0.10269308687789
71.3636363636364,1058.09730000537,1691.90269999463,38.4762654547406,50,0.457794046658122,32.0455832660685,44.8782812499999,16.319375,0.625388977751927,0.366304110143373,0.103018270930317
70.4545454545455,1058.09730000537,1691.90269999463,38.4762654547407,50,0.460381404714497,32.2266983300148,44.7644312499999,16.277975,0.625388977751927,0.370190021299725,0.103343454982745
69.5454545454545,1058.09730000537,1691.90269999463,38.4762654547406,50,0.462707878817008,32.3895515171905,44.6482093749999,16.2357125,0.625388977751927,0.373952531655066,0.103668639035172
68.6363636363636,1058.09730000537,1691.90269999463,38.4762654547407,50,0.464963985890274,32.5474790123192,44.5438468749999,16.1977625,0.625388977751927,0.377446113552266,0.1039938230876
67.7272727272727,1058.09730000537,1691.90269999463,38.4762654547406,50,0.467004793470811,32.6903355429567,44.4394843749999,16.1598125,0.625388977751927,0.380712791264874,0.104319007140027
66.8181818181818,1058.09730000537,1691.90269999463,38.4762654547406,50,0.468805267225603,32.8163687057922,44.3327499999999,16.121,0.625388977751927,0.383834592969677,0.104644191192455
65.9090909090909,1058.09730000537,1691.90269999463,38.4762654547406,50,0.470557561210794,32.9390292847556,44.2378749999999,16.0865,0.625388977751927,0.386774432337874,0.105308261319902
65,1058.09730000537,1691.90269999463,38.4762654547407,50,0.472081166892156,33.0456816824509,44.1406281249999,16.0511375,0.625388977751927,0.38966560243875,0.10613767482005
64.0909090909091,1058.09730000537,1691.90269999463,38.4762654547407,50,0.473443308288439,33.1410315801907,44.0457531249999,16.0166375,0.625388977751927,0.392324225298219,0.106967088320198
63.1818181818182,1058.09730000537,1691.90269999463,38.4762654547407,50,0.474585637518921,33.2209946263244,43.94850625,15.981275,0.625388977751927,0.394929057797928,0.107796501820346
62.2727272727273,1058.09730000537,1691.90269999463,38.4762654547407,50,0.475702048231498,33.2991433762048,43.86311875,15.950225,0.625388977751927,0.397226703318565,0.108625915320495
